APL Apollo Tubes Ltd.                             , 2165.15,12Apr18 0751
Arrow Greentech Ltd.                              ,  359.50,12Apr18 0751
Axis Bank Ltd.                                    ,  548.30,12Apr18 0751
Bajaj Holdings & Investment Ltd.                  , 2635.00,12Apr18 0751
Bharat Heavy Electricals Ltd.                     ,   89.10,12Apr18 0751
Bodal Chemicals Ltd.                              ,  130.50,12Apr18 0751
Central Depository Services Ltd Ltd.              ,  295.00,12Apr18 0751
Corporation Bank                                  ,   30.95,12Apr18 0751
Galaxy Entertainment Ltd.                         ,   19.05,12Apr18 0751
General Insurance Corporation of India Ltd.       ,  724.15,12Apr18 0751
Glenmark Pharma Ltd.                              ,  556.00,12Apr18 0751
HDFC Bank Ltd.                                    , 1925.00,12Apr18 0751
Innovative Tech Pack Ltd.                         ,   74.00,12Apr18 0751
Karnataka Bank Ltd.                               ,  125.05,12Apr18 0751
Larsen & Toubro Ltd.                              , 1357.55,12Apr18 0751
LEEL Ltd.                                         ,  242.15,12Apr18 0751
NHPC Ltd.                                         ,   27.75,12Apr18 0751
NMDC Ltd.                                         ,  121.10,12Apr18 0751
NLC India Ltd.                                    ,   89.40,12Apr18 0751
NTPC Ltd.                                         ,  169.25,12Apr18 0751
Reliance Industries Ltd.                          ,  927.55,12Apr18 0751
Sanghi Industries Ltd.                            ,  117.00,12Apr18 0751
Sintex Industries Ltd.                            ,   19.30,12Apr18 0751
Tata Consultancy Services Ltd.                    , 3137.30,12Apr18 0751
State Bank of India                               ,  254.30,12Apr18 0751
Vakrangee Ltd.                                    ,  139.55,12Apr18 0751
Va Tech Wabag Ltd.                                ,  508.20,12Apr18 0751
